ZIPCODE,DONG,30
135806,개포1동 경남아파트,39
135807,개포1동 우성3차아파트,50
135806,개포1동 우성9차아파트,54
135770,개포1동 주공아파트,48
135805,개포1동 주공아파트,49
135966,개포1동 주공아파트,49
135807,개포1동 주공아파트,50
135805,개포1동 주공아파트,51
135807,개포1동 현대1차아파트,54
135805,개포1동,31
135806,개포1동,36
135807,개포1동,36
135810,개포1동,31
135241,개포1동,28
135800,개포2동 우성8차아파트,54
135771,개포2동 주공아파트,51
135800,개포2동 주공아파트,51
135772,개포2동 주공아파트,51
135800,개포2동 주공아파트,51
135992,개포2동 주공아파트,51
135993,개포2동 주공아파트,51
135993,개포2동 주공아파트,51
135800,개포2동 현대3차아파트,50
135800,개포2동,35
135801,개포2동,31
135802,개포2동,36
135800,개포2동,36
135802,개포2동,36
135800,개포2동,36
135803,개포2동,31
135800,개포2동,36
135993,개포2동,36
135994,개포2동,36
135804,개포2동,36
135242,개포2동,28
135773,개포4동 시영아파트,48
135809,개포4동 시영아파트,49
135809,개포4동 우성6차아파트,50
135808,개포4동 현대2차아파트,54
135808,개포4동,36
135809,개포4동,31
135960,개포4동,32
135960,개포4동,32
135960,개포4동,38
135961,개포4동,38
135962,개포4동,38
135963,개포4동,38
135964,개포4동,38
135965,개포4동,38
135961,개포4동,32
135962,개포4동,32
135961,개포4동,38
135244,개포4동,28
135543,개포동 LG자이아파트,52
135988,개포동 SH공사,34
135940,개포동 대청아파트,38
135989,개포동 대청타워,36
135797,개포동 대치아파트,50
135544,개포동 대치아파트,50
135240,개포동 서울강남우체국,42
135939,개포동 서울수서경찰서,42
135939,개포동,33
135940,개포동,29
135240,개포동,27
135726,논현1동 거평타운,37
135529,논현1동 논현빌딩,37
135814,논현1동 논현아파트,39
135749,논현1동 영풍빌딩,37
135811,논현1동,32
135812,논현1동,33
135811,논현1동,34
135813,논현1동,34
135814,논현1동,34
135812,논현1동,34
135815,논현1동,34
135814,논현1동,34
135815,논현1동,34
135822,논현1동,36
135823,논현1동,36
135824,논현1동,36
135822,논현1동,36
135825,논현1동,36
135824,논현1동,36
135825,논현1동,36
135824,논현1동,31
135817,논현1동,36
135826,논현1동,36
135827,논현1동,36
135826,논현1동,36
135827,논현1동,36
135545,논현1동,36
135011,논현1동,28
135727,논현2동 LH서울지역본부,43
135819,논현2동 SB타워,35
135701,논현2동 건설회관,37
135833,논현2동 경복아파트,39
135833,논현2동 동부센트레빌,41
135820,논현2동 동현아파트,39
135714,논현2동 두산빌딩,37
135572,논현2동 두산위브아파트,55
135832,논현2동 두산위브아파트,55
135530,논현2동 보전빌딩,37
135702,논현2동 서울세관,37
135012,논현2동 서울영동우체국,43
135742,논현2동 서진빌딩,37
135733,논현2동 성암빌딩,37
135734,논현2동 송암빌딩,37
135820,논현2동 쌍용아파트,39
135546,논현2동 파크랜드빌딩,41
135832,논현2동 현대인텔렉스,41
135816,논현2동,34
135995,논현2동,34
135818,논현2동,34
135819,논현2동,34
135820,논현2동,36
135821,논현2동,36
135820,논현2동,31
135821,논현2동,36
135820,논현2동,31
135821,논현2동,36
135820,논현2동,31
135996,논현2동,36
135829,논현2동,36
135830,논현2동,36
135831,논현2동,36
135830,논현2동,36
135832,논현2동,36
135833,논현2동,36
135012,논현2동,28
135010,논현동,27
135828,대치1동 개포우성아파트,52
135853,대치1동 국제아파트,39
135835,대치1동 그랑프리엔,39
135838,대치1동 대치아이파크아파트,59
135838,대치1동 동부센트레빌아파트,47
135838,대치1동 롯데캐슬리베아파트,59
135968,대치1동 삼성아파트,39
135836,대치1동 선경아파트,39
135774,대치1동 청실아파트,39
135835,대치1동,36
135836,대치1동,36
135835,대치1동,36
135838,대치1동,36
135852,대치1동,32
135500,대치1동,38
135281,대치1동,28
135708,대치2동 글라스타워빌딩,43
135842,대치2동 대치현대아파트,55
135837,대치2동 미도상가,37
135775,대치2동 미도아파트,51
135837,대치2동 미도아파트,51
135518,대치2동 미래와사람빌딩,43
135735,대치2동 삼탄빌딩,37
135851,대치2동 새마을운동중앙회,45
135844,대치2동 서울강남경찰서,43
135713,대치2동 섬유센터빌딩,41
135776,대치2동 쌍용아파트,39
135834,대치2동 우성1차아파트,50
135519,대치2동 우성2차아파트,54
135969,대치2동 은마상가,37
135778,대치2동 은마아파트,48
135969,대치2동 은마아파트,49
135970,대치2동 은마아파트,49
135736,대치2동 일동빌딩,37
135851,대치2동 총회회관,37
135549,대치2동 코스모타워,39
135725,대치2동 해성2빌딩,38
135725,대치2동 해성빌딩,37
135850,대치2동 현대아파트,46
135552,대치2동 호텔아이파크(주),45
135849,대치2동 효성아파트,39
135834,대치2동,33
135837,대치2동,36
135834,대치2동,36
135845,대치2동,36
135846,대치2동,36
135847,대치2동,36
135848,대치2동,36
135842,대치2동,36
135849,대치2동,36
135501,대치2동,36
135502,대치2동,37
135851,대치2동,38
135282,대치2동,28
135737,대치4동 KTF빌딩,36
135570,대치4동 금강타워,37
135839,대치4동 다봉빌딩,37
135841,대치4동 대치포스코더샵아파트,61
135523,대치4동 동부금융센터,41
135704,대치4동 롯데백화점(강남점),47
135841,대치4동 롯데캐슬아파트,43
135712,대치4동 상제리제빌딩,41
135738,대치4동 세종증권빌딩,41
135524,대치4동 유니온스틸빌딩,43
135777,대치4동 포스코센터,39
135596,대치4동 풍림아이원아파트,45
135839,대치4동,36
135840,대치4동,36
135841,대치4동,36
135997,대치4동,31
135843,대치4동,36
135998,대치4동,36
135999,대치4동,36
135284,대치4동,28
135280,대치동,27
135720,도곡1동 강남세브란스병원,45
135504,도곡1동 경남아파트,51
135857,도곡1동 도곡1차아이파크아파트,62
135503,도곡1동 도곡한신아파트,51
135857,도곡1동 삼익아파트,39
135858,도곡1동 역삼럭키아파트,43
135739,도곡1동 텔슨벤처타워,41
135857,도곡1동 현대아파트,39
135504,도곡1동,36
135857,도곡1동,36
135858,도곡1동,36
135857,도곡1동,36
135858,도곡1동,31
135857,도곡1동,36
135859,도곡1동,36
135860,도곡1동,36
135861,도곡1동,36
135857,도곡1동,36
135862,도곡1동,36
135504,도곡1동,31
135857,도곡1동,31
135271,도곡1동,28
135854,도곡2동 개포럭키아파트,43
135855,도곡2동 개포한신아파트,43
135700,도곡2동 군인공제회관,41
135971,도곡2동 대림아크로빌,41
135506,도곡2동 도곡렉슬아파트,43
135537,도곡2동 삼성래미안아파트,57
135542,도곡2동 삼성타워팰리스,48
135532,도곡2동 삼성타워팰리스,48
135533,도곡2동 삼성타워팰리스,48
135534,도곡2동 삼성타워팰리스,48
135535,도곡2동 삼성타워팰리스,48
135536,도곡2동 삼성타워팰리스,48
135554,도곡2동 삼성타워팰리스,48
135856,도곡2동 아카데미스위트,43
135505,도곡2동 우성4차아파트,50
135854,도곡2동 우성5차아파트,54
135555,도곡2동 우성캐릭터199,42
135779,도곡2동 진달래아파트,49
135972,도곡2동 현대비전21,39
135505,도곡2동,35
135854,도곡2동,36
135855,도곡2동,36
135854,도곡2동,36
135856,도곡2동,36
135854,도곡2동,36
135272,도곡2동,28
135270,도곡동,27
135526,삼성1동 경암빌딩,37
135973,삼성1동 공항타워,37
135732,삼성1동 그랜드인터콘티넨탈호텔,51
135715,삼성1동 대웅제약빌딩,41
135741,삼성1동 덕명빌딩,37
135974,삼성1동 동양금융센터,41
135728,삼성1동 무역센터공항터미널,47
135798,삼성1동 무역센터아셈타워,45
135731,삼성1동 무역센터코엑스(COEX),49
135729,삼성1동 무역센터트레이드타워,49
135730,삼성1동 무역센터현대백화점,47
135538,삼성1동 새마을금고중앙회,45
135740,삼성1동 서울의료원,39
135865,삼성1동 진흥아파트,39
135799,삼성1동 컨벤션별관,39
135975,삼성1동 코엑스인터콘티넨탈서울,51
135793,삼성1동 한국감정원,39
135791,삼성1동 한국전력빌딩,41
135743,삼성1동 현대아이파크아파트,47
135525,삼성1동 호텔오크우드,41
